,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,41,27,0,40,21004,0.99662514209928,0.9980579765062524,0.9948844259189088
FLOAT,0,0,0,0,191,1.0,1.0,1.0
POINTER,18,0,0,1,9483,0.9980793517154284,0.998105661965902,0.9980004209640077
ARRAY,64,17,24,0,2092,0.9596040054619936,0.9708693673190716,0.9522075557578517
STRUCT,2,8,0,0,2025,0.996068796068796,0.999017199017199,0.995085995085995
UNION,0,0,0,2,14,0.96875,1.0,0.875
