,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,0.04406425446752741,9.74089226573154e-05,0.0,0.0001062642792625259,0.9557320723305528
FLOAT,0.0,0.0,0.0,0.0,1.0
POINTER,0.002075262866629773,0.0,0.0,0.0,0.9979247371333703
