,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,28,2,0,12,3731,0.9913861648555526,0.9925788497217068,0.9888682745825604
FLOAT,0,0,0,0,35,1.0,1.0,1.0
POINTER,15,0,0,0,1644,0.9909584086799276,0.9909584086799276,0.9909584086799276
ARRAY,59,1,4,0,349,0.8504842615012107,0.8571428571428571,0.8450363196125908
STRUCT,0,1,0,0,337,0.9977810650887574,1.0,0.9970414201183432
