,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,94,48,0,12240,8730,0.8489010989010989,0.9955475558923836,0.4135089048882152
FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
POINTER,68,4,0,5840,3590,0.8388760260997685,0.992843611871185,0.3778151968006735
ARRAY,788,597,565,19,228,0.3067819754210287,0.6413290851160673,0.1037778789258079
STRUCT,152,955,432,390,106,0.4192874692874693,0.9253071253071252,0.052088452088452
UNION,0,2,4,10,0,0.625,1.0,0.0
