,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.5859784193469149,0.7367096932670898,0.2479358325211369
FLOAT,0.4351851851851852,0.7333333333333333,0.08148148148148149
POINTER,0.5914924793446791,0.7625520796553916,0.223571781653838
