,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,34,3,0,2151,1585,0.8478664192949907,0.9909886032335012,0.420090113967665
FLOAT,0,17,0,13,5,0.5428571428571428,1.0,0.1428571428571428
POINTER,28,1,0,1009,621,0.8306208559373116,0.9831223628691984,0.3743218806509946
ARRAY,186,88,93,1,45,0.2766343825665859,0.549636803874092,0.1089588377723971
STRUCT,19,160,69,66,24,0.4378698224852071,0.9437869822485208,0.0710059171597633
