,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.9913861648555526,0.9925788497217068,0.9888682745825603
FLOAT,1.0,1.0,1.0
POINTER,0.9909584086799277,0.9909584086799277,0.9909584086799277
ARRAY,0.8504842615012107,0.8571428571428571,0.8450363196125908
STRUCT,0.9977810650887574,1.0,0.9970414201183432
