,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH
INT,0.003143006809848088,0.002285823134434973,0.0,0.5811705319300919,0.41340063812562505
FLOAT,0.0,0.2931937172774869,0.0,0.5916230366492147,0.11518324607329843
POINTER,0.005635899617184177,0.0004253509145044662,0.0,0.620374308804764,0.37356444066354744
ARRAY,0.3409728718428438,0.2792329279700655,0.26426566884939195,0.008886810102899906,0.10664172123479888
STRUCT,0.0746928746928747,0.4692874692874693,0.2122850122850123,0.19164619164619165,0.052088452088452086
UNION,0.0,0.125,0.25,0.625,0.0
