,Ground truth varnodes,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,Missed varnodes,"Varnode average comparison score [0,1]"
ndarray,3,2,0,0,1,0,0.5
typecases,15,3,2,8,2,0,0.65
p0,7,0,0,2,5,0,0.9285714285714286
structcases,6,0,3,2,1,0,0.6666666666666666
