,Varnode comparison score,Varnode fraction partially recovered,Varnode fraction exactly recovered
INT,0.7072913447595502,0.9207276487508023,0.2525831807988843
FLOAT,0.5018518518518519,1.0,0.08148148148148149
POINTER,0.6361662311983617,0.9953393121954665,0.21149636325118282
