,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.8478664192949907,0.9909886032335012,0.420090113967665
FLOAT,0.5428571428571428,1.0,0.14285714285714285
POINTER,0.8306208559373116,0.9831223628691983,0.3743218806509946
ARRAY,0.27663438256658596,0.549636803874092,0.1089588377723971
STRUCT,0.4378698224852071,0.9437869822485208,0.07100591715976332
