,Array comparisons,Array length average difference (ground truth length - decompiler length),Array length average absolute error ratio (length error / ground truth length),Array size average difference (ground truth size - decompiler size),Array size average absolute error ratio (size error / ground truth size),"Dimension match ratio [0,1]","Array comparison average element type comparison score [0,1]"
ndarray,2,274.5,0.4995,-4.0,0.001,0.0,0.6666666666666666
typecases,2,-2.0,0.11,-8.0,0.11,0.5,1.0
p0,1,0.0,0.0,0.0,0.0,1.0,1.0
structcases,0,,,,,,
