,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode comparison score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,66,48,0,12204,8681,0.8498499928568027,0.996856993190152,0.413400638125625
FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
POINTER,53,4,0,5834,3513,0.8389515099957465,0.994364100382816,0.3735644406635474
ARRAY,729,597,565,19,228,0.3152478952291861,0.6590271281571563,0.1066417212347988
STRUCT,152,955,432,390,106,0.4192874692874693,0.9253071253071252,0.052088452088452
UNION,0,2,4,10,0,0.625,1.0,0.0
