,Ground truth decomposed (primitive) varnodes w/ metatype=INT,Missed decomposed (primitive) varnodes w/ metatype=INT,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=OVERLAP,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=SUBSET,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=ALIGNED,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=MATCH,"Decomposed (primitive) varnode average compare score [0,1] w/ metatype=INT"
ndarray,1110,0,1110,0,0,0,0.25
typecases,127,0,0,0,12,115,0.9763779527559056
p0,16,0,0,0,2,14,0.96875
structcases,7,0,0,0,7,0,0.75
