,Ground truth varnodes,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,505035,0.5858608809290445,0.7365410318096766,0.2479194511271496
FLOAT,270,0.4351851851851852,0.7333333333333333,0.08148148148148149
POINTER,28420,0.5923205489092188,0.7628430682617875,0.22551020408163266
