,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,0.0019420234937476317,0.0012788935202728306,0.0,0.0018946570670708603,0.9948844259189087
FLOAT,0.0,0.0,0.0,0.0,1.0
POINTER,0.0018943380340980846,0.0,0.0,0.00010524100189433803,0.9980004209640075
ARRAY,0.02913063268092854,0.007737824305871643,0.010923987255348202,0.0,0.9522075557578517
STRUCT,0.0009828009828009828,0.003931203931203931,0.0,0.0,0.995085995085995
UNION,0.0,0.0,0.0,0.125,0.875
