,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.9786509845852268,0.978854930846377,0.9785302008771669
FLOAT,1.0,1.0,1.0
POINTER,0.9989180154820549,0.9989795918367347,0.9988740323715694
