,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,41,27,0,40,21004
FLOAT,0,0,0,0,191
POINTER,18,0,0,1,9483
ARRAY,64,17,24,0,2092
STRUCT,2,8,0,0,2025
UNION,0,0,0,2,14
