,Varnodes matched @ level NO MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH
INT,0.02086552404497587,0.00024563989191844754,0.0,7.923867481240245e-06,0.9788809121956245
FLOAT,0.0,0.0,0.0,0.0,1.0
POINTER,0.0004943153732081067,7.06164818868724e-05,0.0,3.53082409434362e-05,0.9993997599039616
