,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,0.0044524441076165214,0.0022735884804850324,0.0,0.5797650625236832,0.41350890488821523
FLOAT,0.0,0.2931937172774869,0.0,0.5916230366492147,0.11518324607329843
POINTER,0.007156388128814986,0.0004209640075773521,0.0,0.6146074510629341,0.37781519680067355
ARRAY,0.35867091488393266,0.27173418297678653,0.25716886663632227,0.00864815657715066,0.10377787892580792
STRUCT,0.0746928746928747,0.4692874692874693,0.2122850122850123,0.19164619164619165,0.052088452088452086
