,Functions recovery fraction,"Varnode comparison score [0,1] (decomposed)",Varnodes fraction partially recovered (decomposed),Varnodes fraction exactly recovered (decomposed),"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered,Bytes recovery fraction
strip,1.0,0.5859784123345245,0.738206009934147,0.2464676091370178,0.7875542650145186,0.9712503234338614,0.3608084409050398,0.6126125821688262
standard,1.0,0.7030946815603952,0.92473160572075,0.2502210085481611,0.8159948825575712,0.9928413305350314,0.3864531524020355,0.8060422863737242
debug,0.9997794806769944,0.9800638115358972,0.98024595629275,0.9799968534376194,0.997822212000115,0.9993387574389788,0.9969525342839892,0.994534046469898
