,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,51,48,0,12284,8729,0.8504168245547555,0.9975843122394846,0.4134615384615384
FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
POINTER,59,4,0,5842,3597,0.8397705746158703,0.993790780888234,0.3785518838139339
ARRAY,240,578,352,45,982,0.6082157487482931,0.890760127446518,0.4469731451979972
STRUCT,1,762,257,777,238,0.5600737100737101,0.9995085995085996,0.1169533169533169
UNION,0,2,4,10,0,0.625,1.0,0.0
