,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,40017,46846,0,290436,127505,0.7072913447595502,0.9207276487508024,0.2525831807988843
FLOAT,0,145,0,103,22,0.5018518518518519,1.0,0.0814814814814814
POINTER,132,9245,0,12955,5990,0.6361662311983617,0.9953393121954665,0.2114963632511828
