,Functions recovery fraction,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered,"Varnode comparison score [0,1] (decomposed)",Varnodes fraction partially recovered (decomposed),Varnodes fraction exactly recovered (decomposed),Bytes recovery fraction
strip,1.0,0.7859812284255271,0.9685618919921262,0.3616238267765954,0.5859123623056838,0.7380658686557665,0.2465516757293002,0.8054197100143956
standard,1.0,0.8142027786494737,0.9899865917325192,0.3870710067611902,0.7029565087179103,0.924476597815609,0.2503027637132776,0.8054197100143956
debug,0.9997794806769944,0.994672353293584,0.9964339714147148,0.9930391122015234,0.9797578826193974,0.9799567614109632,0.9796404271448492,0.993578926329691
