,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.57583284628872,0.9090997644475143,0.10127871349379239
FLOAT,0.45348837209302323,1.0,0.11627906976744186
POINTER,0.5589374654122855,0.9928057553956835,0.1413945766463752
