,,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
strip,INT,133056,28812,0,217959,125208,0.5858608809290445,0.7365410318096766,0.2479194511271496
strip,FLOAT,72,73,0,103,22,0.4351851851851852,0.7333333333333333,0.0814814814814814
strip,POINTER,6740,2057,0,13214,6409,0.5923205489092188,0.7628430682617875,0.2255102040816326
standard,INT,40163,46846,0,290472,127554,0.7071183185323789,0.9204748185769304,0.2525646737354837
standard,FLOAT,0,145,0,103,22,0.5018518518518519,1.0,0.0814814814814814
standard,POINTER,147,9245,0,12961,6067,0.6368402533427164,0.9948275862068966,0.2134764250527797
debug,INT,10679,124,0,40,494192,0.9786509845852268,0.978854930846377,0.9785302008771668
debug,FLOAT,0,0,0,0,270,1.0,1.0,1.0
debug,POINTER,29,2,0,1,28388,0.9989180154820548,0.9989795918367348,0.9988740323715694
