,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.99662514209928,0.9980579765062524,0.9948844259189087
FLOAT,1.0,1.0,1.0
POINTER,0.9980793517154283,0.9981056619659019,0.9980004209640075
ARRAY,0.9596040054619936,0.9708693673190715,0.9522075557578517
STRUCT,0.9960687960687961,0.999017199017199,0.995085995085995
UNION,0.96875,1.0,0.875
