,Varnode comparison score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.851373874946426,0.9989047097480832,0.4133530168103243
FLOAT,0.6321989528795812,1.0,0.11518324607329843
POINTER,0.8398553806890685,0.9953211399404509,0.37430880476393025
ARRAY,0.625,0.9153414405986904,0.4593077642656688
STRUCT,0.5600737100737101,0.9995085995085995,0.11695331695331695
UNION,0.625,1.0,0.0
