,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,0.7071183185323789,0.9204748185769304,0.2525646737354837
FLOAT,0.5018518518518519,1.0,0.08148148148148149
POINTER,0.6368402533427164,0.9948275862068966,0.21347642505277972
