,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,30,3,0,2158,1582
FLOAT,0,17,0,13,5
POINTER,27,1,0,1010,621
ARRAY,92,84,63,8,166
STRUCT,0,138,49,118,33
