,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH
INT,0.07952518142306969,0.09275792766837943,0.0,0.5751522171730672,0.2525646737354837
FLOAT,0.0,0.5370370370370371,0.0,0.3814814814814815,0.08148148148148149
POINTER,0.005172413793103448,0.3252990851513019,0.0,0.45605207600281494,0.21347642505277972
