,Array comparisons,Array length average difference (ground truth length - decompiler length),Array length average absolute error ratio (length error / ground truth length),Array size average difference (ground truth size - decompiler size),Array size average absolute error ratio (size error / ground truth size),"Dimension match ratio [0,1]","Array comparison average element type comparison score [0,1]"
shred,19,-71.42105263157895,4.849621762015556,-36.473684210526315,1.639095446226083,1.0,0.7017543859649122
shuf,8,-53.125,5.1409046692607,-1.875,0.015904669260700388,1.0,0.7083333333333334
sleep,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
sort,27,-52.925925925925924,2.836600985236942,-1.1111111111111112,0.09586024449620115,0.9259259259259259,0.6666666666666666
split,12,-54.916666666666664,3.723009127878061,-2.1666666666666665,0.056342461211394246,1.0,0.6944444444444445
stat,22,24.136363636363637,2.589466375355105,45.18181818181818,0.08946637535510506,0.9545454545454546,0.7575757575757577
stdbuf,11,-36.27272727272727,6.103186350371418,-2.090909090909091,0.012277259462327557,1.0,0.6363636363636364
stty,14,-311.14285714285717,8.687659811006114,-1.6428571428571428,0.04480266814897165,1.0,0.5476190476190476
sum,16,-20.4375,3.9081188017858195,-3.375,0.033118801785819295,1.0,0.6666666666666666
sync,7,-38.57142857142857,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
tac,28,-81.17857142857143,2.6347408988066285,290.60714285714283,0.10279335416377154,0.9642857142857143,0.7142857142857143
tail,14,-48.0,3.591008772661089,-2.9285714285714284,0.06422305837537472,1.0,0.6190476190476191
tee,10,-35.6,5.11282139165856,-2.3,0.012821391658560312,1.0,0.6666666666666666
test,9,-16.555555555555557,1.5215448911946967,-2.3333333333333335,0.0771004467502522,1.0,0.7777777777777778
timeout,9,-41.44444444444444,4.628172571506587,-2.7777777777777777,0.07261701595103193,1.0,0.7037037037037037
touch,50,-38.42,4.084441766002807,15.92,0.16444176600280708,0.96,0.6066666666666667
tr,13,-14.846153846153847,3.7691023926219693,-1.7692307692307692,0.012191334929661778,1.0,0.6666666666666666
true,6,-19.166666666666668,1.6878728923476005,-2.5,0.021206225680933853,1.0,0.7777777777777778
truncate,7,-47.42857142857143,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
tsort,8,-30.5,6.2659046692607,-2.875,0.04715466926070039,1.0,0.6666666666666666
tty,7,-38.57142857142857,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
uname,8,-80.25,9.015904669260701,-1.875,0.015904669260700388,1.0,0.5833333333333334
unexpand,8,-39.375,6.0159046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
uniq,12,-50.25,5.135603112840467,-1.9166666666666667,0.052269779507133594,1.0,0.6944444444444445
unlink,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
uptime,13,59.84615384615385,3.3664522828811667,76.6923076923077,0.13568305211193601,0.9230769230769231,0.7948717948717948
users,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
vdir,61,-102.40983606557377,8.784114041687996,-48.77049180327869,3.0464091236552093,0.9344262295081968,0.6939890710382514
wc,11,2933.6363636363635,4.206105908022343,2973.090909090909,0.20610590802234247,1.0,0.7272727272727272
who,19,-37.21052631578947,2.3322299707901744,-1.4736842105263157,0.016440497105963764,1.0,0.8245614035087719
whoami,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
yes,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
