,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,30,3,0,2158,1582,0.8484627617280679,0.9920487675589716,0.4192949907235621
FLOAT,0,17,0,13,5,0.5428571428571428,1.0,0.1428571428571428
POINTER,27,1,0,1010,621,0.8310729355033153,0.9837251356238698,0.3743218806509946
ARRAY,92,84,63,8,166,0.5435835351089588,0.7772397094430993,0.4019370460048426
STRUCT,0,138,49,118,33,0.5340236686390533,1.0,0.0976331360946745
