,NO_MATCH,OVERLAP,SUBSET,ALIGNED,MATCH
INT,0.021096611948278252,0.00024553969228332113,0.0,7.920635234945842e-05,0.978578642007089
FLOAT,0.0,0.0,0.0,0.0,1.0
POINTER,0.0005984229794424106,7.0402703463813e-05,0.0,3.52013517319065e-05,0.9992959729653619
