,Ground truth varnodes,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,3773,0.8484627617280679,0.9920487675589716,0.41929499072356213
FLOAT,35,0.5428571428571428,1.0,0.14285714285714285
POINTER,1659,0.8310729355033153,0.9837251356238698,0.3743218806509946
ARRAY,413,0.5435835351089588,0.7772397094430993,0.4019370460048426
STRUCT,338,0.5340236686390533,1.0,0.09763313609467456
