,Ground truth varnodes,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
INT,112926,0.48274755149389864,0.7201087437791119,0.10003010821245771
FLOAT,43,0.43023255813953487,0.9069767441860465,0.11627906976744186
POINTER,7228,0.47938572219147757,0.6444382955174323,0.14831211953514112
